,idx1,score1,idx2,score2,idx3,score3,label_list,professionals_id
12,67.0,1.165117443,74.0,0.93534437,6.0,0.84047174,"[67.0, 1.1651174430000002, 74.0, 0.9353443699999999, 6.0, 0.84047174]",0c9a2748560541be9fe2df0d7be88282
13,65.0,1.77250776,2.0,0.3124072,89.0,0.18114133,"[65.0, 1.7725077599999999, 2.0, 0.3124072, 89.0, 0.18114133]",b6af2f682f0e4bf2af7783c1980820e6
14,35.0,0.34775764,19.0,0.30131507,74.0,0.296192224,"[35.0, 0.34775764, 19.0, 0.30131507, 74.0, 0.296192224]",0891498de2ed423f85ec713e00b53561
15,15.0,0.65426701,72.0,0.1953887,16.0,0.1041538,"[15.0, 0.65426701, 72.0, 0.1953887, 16.0, 0.1041538]",8074bb4fb8894ab99c2716ea6ef91ff9
16,39.0,0.96842467,28.0,0.145531233,21.0,0.12139264,"[39.0, 0.9684246699999999, 28.0, 0.145531233, 21.0, 0.12139264]",5f77e0a2c3a144dda336df2294a64530
17,91.0,0.2327662,29.0,0.17107891,51.0,0.099780582,"[91.0, 0.2327662, 29.0, 0.17107891, 51.0, 0.099780582]",8ff80b2548fa4e68892da71d1e320289
18,65.0,5.93192893,41.0,1.255125914,91.0,0.538317098,"[65.0, 5.93192893, 41.0, 1.2551259140000002, 91.0, 0.5383170979999999]",2a8328f6ceb548699a64293f986f3d19
19,54.0,0.6976155,33.0,0.19827119,48.0,0.066805631,"[54.0, 0.6976155, 33.0, 0.19827119, 48.0, 0.066805631]",8e75aca48b434c79b8b4729ef871cb50
20,53.0,1.40386866,67.0,0.62782192,11.0,0.33464694,"[53.0, 1.40386866, 67.0, 0.62782192, 11.0, 0.33464694]",01b3e033848b41f6b7a55cefc59ba61a
21,29.0,0.37144804,62.0,0.29878923,98.0,0.265992765,"[29.0, 0.37144804, 62.0, 0.29878923, 98.0, 0.265992765]",c79d4e4fd9af4ab7a7e6b6f433128476
22,0.0,0.39366245,33.0,0.30465731,98.0,0.12242848,"[0.0, 0.39366245, 33.0, 0.30465731, 98.0, 0.12242848]",5e9ee8611ee34185a90e4c40f02567ff
23,11.0,0.49595547,50.0,0.47793311,45.0,0.3223834,"[11.0, 0.49595547, 50.0, 0.47793311, 45.0, 0.3223834]",d67201e5fcdc4a339c6d6e1e0b0eecfc
24,36.0,0.55942796,65.0,0.39055181,52.0,0.12335506,"[36.0, 0.5594279600000001, 65.0, 0.39055181, 52.0, 0.12335506]",53aa5b6c86d641338704b531423bb442
25,73.0,0.92358735,33.0,0.56989136,25.0,0.47710039,"[73.0, 0.92358735, 33.0, 0.56989136, 25.0, 0.47710039000000004]",d5ee0b2f7ad0476285401be4bcc9311c
26,65.0,0.26880538,39.0,0.25509998,32.0,0.13668859,"[65.0, 0.26880538, 39.0, 0.25509998, 32.0, 0.13668859]",c9c111af948d44ec99ae4706f792cafb
27,29.0,0.45549977,95.0,0.28455272,49.0,0.12075326,"[29.0, 0.45549977, 95.0, 0.28455272, 49.0, 0.12075326]",b1fc2c081a75475a936f74acc5a4fcdd
28,74.0,0.26433557,82.0,0.22180423,51.0,0.19892634,"[74.0, 0.26433557, 82.0, 0.22180423, 51.0, 0.19892634]",f96c2cdbeb314deb911adcead45b4280
29,88.0,0.727786538,54.0,0.67209649,19.0,0.401228548,"[88.0, 0.7277865379999999, 54.0, 0.6720964899999999, 19.0, 0.401228548]",57bf55fab9b549d3a2d9afbe5a6ed7dd
30,18.0,0.22429219,37.0,0.19693539,54.0,0.19612488,"[18.0, 0.22429219, 37.0, 0.19693539, 54.0, 0.19612488]",8fa038d69f5647a091c766bf460d2616
31,73.0,0.85230875,70.0,0.67000002,51.0,0.08364033,"[73.0, 0.85230875, 70.0, 0.67000002, 51.0, 0.08364033]",70f812ce6f57465fa79531f8c56ecdf8
32,90.0,5.01575014,4.0,1.767275905,61.0,1.44303304,"[90.0, 5.01575014, 4.0, 1.767275905, 61.0, 1.44303304]",1e4cc96c24344c8b806c26c3e6746167
33,88.0,4.674410111,67.0,2.46111354,11.0,1.853218801,"[88.0, 4.674410111, 67.0, 2.46111354, 11.0, 1.8532188010000001]",8442ddfd38bc422fb4677785db0630e6
34,32.0,4.047528557,36.0,1.392599244,83.0,1.207781816,"[32.0, 4.047528557, 36.0, 1.392599244, 83.0, 1.207781816]",4a71c85e58dc4c1a8546574188582a92
35,29.0,1.08452669,11.0,0.7512641,50.0,0.40194258,"[29.0, 1.0845266900000001, 11.0, 0.7512641, 50.0, 0.40194258]",7e3c5699bd2944ccb93679c6327ce02b
36,5.0,0.65148491,94.0,0.646169047,73.0,0.35190767,"[5.0, 0.65148491, 94.0, 0.6461690470000001, 73.0, 0.35190767]",7a834b10a8c4494c96ca3fce733c7185
37,83.0,2.58567121,32.0,0.59809788,49.0,0.39455554,"[83.0, 2.5856712099999997, 32.0, 0.5980978800000001, 49.0, 0.39455554000000004]",e18337fd36cf4dffb589f2d548e8270c
38,35.0,0.87856776,84.0,0.53319638,67.0,0.1752938,"[35.0, 0.8785677599999999, 84.0, 0.53319638, 67.0, 0.1752938]",c08a0cc55fe9429d93aaa18fddc5266e
39,17.0,1.152784471,51.0,1.00299261,95.0,0.90871259,"[17.0, 1.152784471, 51.0, 1.00299261, 95.0, 0.9087125899999999]",a71fdedfdb8a478cb19f6fdb761da215
40,91.0,0.97713018,79.0,0.80363843,54.0,0.67266083,"[91.0, 0.97713018, 79.0, 0.80363843, 54.0, 0.67266083]",757a51fd3f2d4b4a8c0f209046e55810
41,74.0,0.27365407,33.0,0.25383776,18.0,0.10102341,"[74.0, 0.27365407, 33.0, 0.25383776, 18.0, 0.10102341]",3516b29f88ec4ea69c46e4cf0adfdb02
42,33.0,0.82536694,74.0,0.216308,67.0,0.19681981,"[33.0, 0.82536694, 74.0, 0.216308, 67.0, 0.19681981]",07cc545a05c14547927bf38d86dbea0b
43,67.0,4.37180199,88.0,2.13174479,35.0,1.77478159,"[67.0, 4.371801990000001, 88.0, 2.13174479, 35.0, 1.7747815900000001]",23dce13ca6164a73aec7a3cd56a4884d
44,15.0,0.91000003,67.0,0.83500004,13.0,0.37387058,"[15.0, 0.91000003, 67.0, 0.83500004, 13.0, 0.37387058]",e14d5241d10e4ea8b8e461ae6f41963a
45,19.0,0.35964984,35.0,0.17879117,43.0,0.088186696,"[19.0, 0.35964984, 35.0, 0.17879117, 43.0, 0.088186696]",0380464990eb44668ad558d5624aa895
46,18.0,0.68731248,88.0,0.527792263,54.0,0.444437983,"[18.0, 0.68731248, 88.0, 0.5277922629999999, 54.0, 0.44443798300000004]",6b4fe248200749bf9e9a6474309d012e
47,91.0,0.499791294,68.0,0.37056252,36.0,0.28950828,"[91.0, 0.499791294, 68.0, 0.37056252, 36.0, 0.28950828]",a6a8b236321646069558ef93844cc9e9
48,88.0,0.952572422,54.0,0.85592638,94.0,0.2798497,"[88.0, 0.952572422, 54.0, 0.8559263800000001, 94.0, 0.2798497]",1ec14aee9311480681dfa81b0f193de8
49,33.0,0.92928576,-1.0,-1.0,-1.0,-1.0,"[33.0, 0.92928576, -1, -1, -1, -1]",e17c2984dbdf492f845751b78ed0a062
50,29.0,0.505,-1.0,-1.0,-1.0,-1.0,"[29.0, 0.505, -1, -1, -1, -1]",4d4bc047c47f4b8cbb9a6365bb1ac959
51,83.0,0.90611307,91.0,0.32241815,34.0,0.29053104,"[83.0, 0.9061130700000001, 91.0, 0.32241815, 34.0, 0.29053104]",00cd9e8093584827bd4d48670bb5077a
52,79.0,0.63745588,33.0,0.11822883,52.0,0.082431041,"[79.0, 0.63745588, 33.0, 0.11822883, 52.0, 0.082431041]",fc993910544c483bb1d8cea5e7120377
53,11.0,0.56532294,91.0,0.14126739,33.0,0.12461279,"[11.0, 0.56532294, 91.0, 0.14126739, 33.0, 0.12461279]",77de187b5b4f4c1fab4aafe6d3526d53
54,88.0,1.38086655,67.0,0.53516591,30.0,0.534579756,"[88.0, 1.38086655, 67.0, 0.53516591, 30.0, 0.534579756]",ea3eebc1e1364406a297347867da61cd
55,65.0,0.42779189,29.0,0.19939788,58.0,0.071903199,"[65.0, 0.42779189, 29.0, 0.19939788, 58.0, 0.071903199]",2927388bfdb845b8837bd4d1f0d5e46e
56,19.0,0.44424459,29.0,0.31177691,73.0,0.22735557,"[19.0, 0.44424459, 29.0, 0.31177691, 73.0, 0.22735557]",ccad7c94952a49b9ad0fb85b09d1398d
57,83.0,0.82389441,41.0,0.21741693,58.0,0.19983695,"[83.0, 0.82389441, 41.0, 0.21741693, 58.0, 0.19983695]",71b73bca4f404b7a95148efdb274c9c9
58,88.0,5.95713069,50.0,0.89000005,73.0,0.8757742,"[88.0, 5.95713069, 50.0, 0.89000005, 73.0, 0.8757742000000001]",624194ea296c49a6a8ef1180787476dc
59,15.0,0.4369643,8.0,0.22508672,50.0,0.066925094,"[15.0, 0.4369643, 8.0, 0.22508672, 50.0, 0.066925094]",9ec2de9933d641979e38827292838a92
60,11.0,0.48596039,83.0,0.3674635,98.0,0.19906209,"[11.0, 0.48596039, 83.0, 0.3674635, 98.0, 0.19906209]",f43cb922135849c58ef534f2e3069b51
61,67.0,1.02413782,15.0,0.847042716,35.0,0.52378663,"[67.0, 1.02413782, 15.0, 0.847042716, 35.0, 0.52378663]",44b2484ecd3642c6a47514f3876cf14a
62,45.0,0.97570947,0.0,0.29495633,94.0,0.25394624,"[45.0, 0.97570947, 0.0, 0.29495633, 94.0, 0.25394624]",2261a3ced4894cfdaa723702e9991119
63,54.0,0.38196221,79.0,0.30858523,22.0,0.11215162,"[54.0, 0.38196221, 79.0, 0.30858523, 22.0, 0.11215162]",82c51b2f74ca466c9f7c892cc8509e45
64,97.0,0.17721054,26.0,0.16475265,24.0,0.15545622,"[97.0, 0.17721054, 26.0, 0.16475265, 24.0, 0.15545622]",66a6d2d213da44fbbf6e9407df46be73
65,35.0,2.0895343,84.0,1.11244401,29.0,0.90556055,"[35.0, 2.0895343, 84.0, 1.11244401, 29.0, 0.90556055]",a620860fe2e044a2bad3ed0b3ef8637e
66,39.0,0.36149478,51.0,0.32500237,75.0,0.26731235,"[39.0, 0.36149478, 51.0, 0.32500237, 75.0, 0.26731235]",7a266dbdaca94ef388d9790128d34162
67,88.0,0.2112765,25.0,0.17870432,33.0,0.16300581,"[88.0, 0.2112765, 25.0, 0.17870432, 33.0, 0.16300581]",4dbdd4b99f80446798b3ab477f049285
68,88.0,5.91638802,65.0,5.759258439,90.0,4.78895937,"[88.0, 5.91638802, 65.0, 5.759258439000001, 90.0, 4.788959370000001]",9c5803ae43ca4cf6b27ea85871625116
69,88.0,0.5297209,91.0,0.26315734,29.0,0.12290456,"[88.0, 0.5297209, 91.0, 0.26315734, 29.0, 0.12290456]",83de8cd32aae45248eaca67fe2a27f2c
70,88.0,0.49953428,75.0,0.42784566,4.0,0.04028672,"[88.0, 0.49953428, 75.0, 0.42784566, 4.0, 0.04028672]",6566e2defa5544bc8d08ae1f2785e7d0
71,88.0,0.78990132,73.0,0.090898268,17.0,0.083274461,"[88.0, 0.78990132, 73.0, 0.090898268, 17.0, 0.083274461]",a656a7121f2945608f7049af9bce9725
72,67.0,10.434741662,88.0,7.808626358,35.0,4.281452156,"[67.0, 10.434741661999999, 88.0, 7.808626358000001, 35.0, 4.281452156]",f05b33a454c048f3bbc73f5f3f7f5127
73,88.0,1.591516457,29.0,1.52868807,54.0,1.23279311,"[88.0, 1.591516457, 29.0, 1.5286880699999998, 54.0, 1.23279311]",560a4bb63dad4df7b9a81efa29c11231
74,35.0,1.05917864,85.0,0.87625003,6.0,0.28367165,"[35.0, 1.05917864, 85.0, 0.87625003, 6.0, 0.28367165]",a199b1b23d6c48d6b0728ea71de886dd
75,65.0,0.57827747,67.0,0.36407551,-1.0,-1.0,"[65.0, 0.57827747, 67.0, 0.36407551, -1, -1]",36adb6e6f7934f3c82eac29a615d066f
76,45.0,0.55247056,15.0,0.2521621,29.0,0.12075196,"[45.0, 0.55247056, 15.0, 0.2521621, 29.0, 0.12075196]",6925cf6e68794051969ac2ae39eda4f1
77,5.0,0.40814114,67.0,0.18363778,72.0,0.1179607,"[5.0, 0.40814114, 67.0, 0.18363778, 72.0, 0.1179607]",8fd2282cc65f4fb0bec02d098c271338
78,39.0,0.17621006,36.0,0.1433578,75.0,0.13075553,"[39.0, 0.17621006, 36.0, 0.1433578, 75.0, 0.13075553]",e406a512fb664ce8ae886334a3dd710a
79,73.0,0.60353838,77.0,0.28294346,19.0,0.24900532,"[73.0, 0.60353838, 77.0, 0.28294346, 19.0, 0.24900532]",bccd61129e1c495e94b28e8e6d326388
80,65.0,0.7751084,0.0,0.064142339,11.0,0.054958981,"[65.0, 0.7751084, 0.0, 0.064142339, 11.0, 0.054958981]",d1530a33a5e24d999be14d432be689fb
81,64.0,0.87625003,-1.0,-1.0,-1.0,-1.0,"[64.0, 0.87625003, -1, -1, -1, -1]",e9b8e066d6ea46dda5dc1e17c1be08f0
82,29.0,1.15162793,95.0,0.7697165,61.0,0.32302374,"[29.0, 1.15162793, 95.0, 0.7697165, 61.0, 0.32302374]",65553bb9f99942b8a9c61f390e3fdc91
83,69.0,0.83500004,-1.0,-1.0,-1.0,-1.0,"[69.0, 0.83500004, -1, -1, -1, -1]",c4f0f3d403a04619b311b5bdb93a1f41
84,73.0,0.80200005,-1.0,-1.0,-1.0,-1.0,"[73.0, 0.80200005, -1, -1, -1, -1]",77e8d040ac2446c5aedbcdf90f45e57c
85,5.0,0.7525,25.0,0.67000002,90.0,0.67000002,"[5.0, 0.7525, 25.0, 0.67000002, 90.0, 0.67000002]",b72ee59027f643b7a520de7fd6f541a7
86,69.0,0.67000002,-1.0,-1.0,-1.0,-1.0,"[69.0, 0.67000002, -1, -1, -1, -1]",14007bc9f3be4e7da8edb04c72553c22
87,94.0,0.47612306,30.0,0.27887696,-1.0,-1.0,"[94.0, 0.47612306, 30.0, 0.27887696, -1, -1]",df2fa237ce144135bc0e664abe4f6dac
88,91.0,0.28931144,87.0,0.22777459,32.0,0.22452231,"[91.0, 0.28931144, 87.0, 0.22777459, 32.0, 0.22452231]",6f57685532374a8f993c0d2de2376552
89,11.0,0.36256218,21.0,0.15492792,86.0,0.1404577,"[11.0, 0.36256218, 21.0, 0.15492792, 86.0, 0.1404577]",255050f16f584ce3aaea168494ab4321
90,80.0,0.34404215,82.0,0.33742523,98.0,0.093325317,"[80.0, 0.34404215, 82.0, 0.33742523, 98.0, 0.093325317]",0a709e8b011c4ae5a30373643cae34cb
91,62.0,0.47770235,50.0,0.34450743,84.0,0.29113278,"[62.0, 0.47770235, 50.0, 0.34450743, 84.0, 0.29113278]",db8cd00a3c5441e580cfb5f81de35427
92,54.0,1.66451386,11.0,1.618804972,15.0,1.3382391,"[54.0, 1.66451386, 11.0, 1.618804972, 15.0, 1.3382391]",2e80f4e84caa4dbc94e7e5311d3bbcd2
93,9.0,0.818570404,53.0,0.67947492,25.0,0.32675242,"[9.0, 0.8185704039999999, 53.0, 0.67947492, 25.0, 0.32675242]",5309d294514e4064a27469e4f84f58e4
94,35.0,0.464554253,70.0,0.287393993,53.0,0.25961778,"[35.0, 0.464554253, 70.0, 0.287393993, 53.0, 0.25961778]",a35a2a709c614a788f70f2136778f39d
95,65.0,0.28532887,35.0,0.20758645,70.0,0.16415171,"[65.0, 0.28532887, 35.0, 0.20758645, 70.0, 0.16415171]",c32e10534451469e8fbc0077acf317c2
96,58.0,1.27062085,41.0,0.361544634,81.0,0.274759867,"[58.0, 1.27062085, 41.0, 0.36154463400000003, 81.0, 0.274759867]",6aec69f4d9474074b1f20a740675dced
97,35.0,0.49836263,49.0,0.41997072,-1.0,-1.0,"[35.0, 0.49836263, 49.0, 0.41997072, -1, -1]",ea7a8dcd1a1f41e2a3a3636c95643649
98,32.0,0.32770097,96.0,0.23127751,84.0,0.18154196,"[32.0, 0.32770097, 96.0, 0.23127751, 84.0, 0.18154196]",aef2e9377f994faf98219268b7e0bc3e
99,84.0,0.38987708,35.0,0.35082805,73.0,0.09615352,"[84.0, 0.38987708, 35.0, 0.35082805, 73.0, 0.09615352]",54a964c533494a739aeb5d4d1761f3ef
100,15.0,0.74028391,80.0,0.14631888,49.0,0.077471271,"[15.0, 0.74028391, 80.0, 0.14631888, 49.0, 0.077471271]",e6a287480d7e4d8991db420b74fdcb76
101,88.0,0.58546442,2.0,0.3737022,-1.0,-1.0,"[88.0, 0.58546442, 2.0, 0.3737022, -1, -1]",2e64429c4ff643908d50f86c42a4055d
102,91.0,1.02042094,58.0,0.50713867,68.0,0.34595749,"[91.0, 1.02042094, 58.0, 0.50713867, 68.0, 0.34595749]",f6495850d9be4bebbd0a78f25a9f4371
103,29.0,0.54516357,54.0,0.23557384,34.0,0.054430865,"[29.0, 0.54516357, 54.0, 0.23557384, 34.0, 0.054430865]",5cd518681ed54ad095c9d77fee551fee
104,84.0,0.27487144,32.0,0.19352497,18.0,0.18464747,"[84.0, 0.27487144, 32.0, 0.19352497, 18.0, 0.18464747]",aa99fbe21aab407ba90b73ebe884db0f
105,6.0,0.45909044,67.0,0.2929388,15.0,0.16242526,"[6.0, 0.45909044, 67.0, 0.2929388, 15.0, 0.16242526]",80fe43a91d804ba38180ae5a422d7228
106,67.0,0.22764303,35.0,0.22502598,74.0,0.09988784,"[67.0, 0.22764303, 35.0, 0.22502598, 74.0, 0.09988784]",4bd93d8ffa1b47c5a4f74c9937dbb5be
107,91.0,0.33502105,72.0,0.26103979,33.0,0.073286243,"[91.0, 0.33502105, 72.0, 0.26103979, 33.0, 0.073286243]",c022c18dade74a7f8d6af25d23dd0685
108,29.0,0.5168851,73.0,0.34640288,98.0,0.096922077,"[29.0, 0.5168851, 73.0, 0.34640288, 98.0, 0.096922077]",62c86b09e80144ea91a3674399e43ade
109,33.0,0.43104073,65.0,0.24009454,88.0,0.13107122,"[33.0, 0.43104073, 65.0, 0.24009454, 88.0, 0.13107122]",d0ef572befc74d48a38cae32f0d97f3b
110,35.0,0.65712404,67.0,0.20066836,15.0,0.065939754,"[35.0, 0.65712404, 67.0, 0.20066836, 15.0, 0.065939754]",a6944b66ea1942128ea31b2aae5c4d75
111,75.0,0.61704928,88.0,0.36495017,67.0,0.31352407,"[75.0, 0.61704928, 88.0, 0.36495016999999996, 67.0, 0.31352407000000004]",502c23b92c9a4ecd8f101869d5e2d32e
112,58.0,2.43562767,90.0,0.76437825,72.0,0.43066704,"[58.0, 2.4356276699999997, 90.0, 0.76437825, 72.0, 0.43066704]",a8d75a1b08b547e995ca2df5cc727d9d
113,88.0,0.82871246,75.0,0.086056061,60.0,0.046431497,"[88.0, 0.82871246, 75.0, 0.086056061, 60.0, 0.046431497]",e78734e68db442fd8816d05959010e0e
114,58.0,0.63600457,81.0,0.36942914,25.0,0.36417687,"[58.0, 0.63600457, 81.0, 0.36942914, 25.0, 0.36417687]",b9f546583fec45389154401e1f4c974d
115,72.0,0.32840872,77.0,0.2312689,32.0,0.20617327,"[72.0, 0.32840872, 77.0, 0.2312689, 32.0, 0.20617327]",affd942996dc4f0ca275bcf2bfdd8cdf
116,41.0,0.53883862,69.0,0.2651614,-1.0,-1.0,"[41.0, 0.53883862, 69.0, 0.2651614, -1, -1]",a4774a6c32f84a3c82936c9bef899583
117,10.0,0.46727213,65.0,0.41203415,95.0,0.35540923,"[10.0, 0.46727213, 65.0, 0.41203415, 95.0, 0.35540923]",efa412529f5948bfb1a8ccb6cebcd5e3
118,0.0,1.173661694,33.0,1.106180722,23.0,1.020864555,"[0.0, 1.173661694, 33.0, 1.106180722, 23.0, 1.020864555]",38bc1866f29744f9a003e2e826e3fcb1
119,36.0,0.30036929,24.0,0.29571185,3.0,0.22627197,"[36.0, 0.30036929, 24.0, 0.29571185, 3.0, 0.22627197]",8039f9e0f48946d499d3e9afdc1d067c
120,72.0,0.35784447,18.0,0.28128269,31.0,0.086114317,"[72.0, 0.35784447, 18.0, 0.28128269, 31.0, 0.086114317]",54aa2302458f4662a7527d79bc0278d5
121,91.0,0.22213478,65.0,0.17245513,54.0,0.15759623,"[91.0, 0.22213478, 65.0, 0.17245513, 54.0, 0.15759623]",bfdedda429f940efb86d3cc923bc9f99
122,67.0,2.951616925,62.0,1.24947554,88.0,1.13116859,"[67.0, 2.951616925, 62.0, 1.2494755400000002, 88.0, 1.13116859]",4cf8fd05248647a088f3e2c4118f052f
123,88.0,3.185797226,51.0,0.521105801,35.0,0.394028836,"[88.0, 3.185797226, 51.0, 0.521105801, 35.0, 0.394028836]",29066f5ff3504a91bb7bb304ae6890cb
124,32.0,0.91093898,82.0,0.055267882,-1.0,-1.0,"[32.0, 0.91093898, 82.0, 0.055267882, -1, -1]",99382c0f2394425896ef92cae2b24365
125,67.0,0.90100002,-1.0,-1.0,-1.0,-1.0,"[67.0, 0.90100002, -1, -1, -1, -1]",3434b96f6ad14d7ab501bc2498fb79dd
126,67.0,0.96439067,17.0,0.89596256,53.0,0.2761578,"[67.0, 0.96439067, 17.0, 0.8959625600000001, 53.0, 0.2761578]",6528a2e859cf4409be758ad4ee913067
127,6.0,0.72064418,67.0,0.44404021,3.0,0.23628524,"[6.0, 0.72064418, 67.0, 0.44404021, 3.0, 0.23628524]",923283c837174027ac4769a266910ff4
128,67.0,1.36357147,-1.0,-1.0,-1.0,-1.0,"[67.0, 1.3635714700000001, -1, -1, -1, -1]",ebc04ab56c344045abda093c7984c974
129,32.0,0.92928571,26.0,0.92928571,-1.0,-1.0,"[32.0, 0.92928571, 26.0, 0.92928571, -1, -1]",16e3896bef7e40229b2ccdc8fb2295c9
130,62.0,0.47532716,15.0,0.20221561,88.0,0.16441078,"[62.0, 0.47532716, 15.0, 0.20221561, 88.0, 0.16441078]",a96726e8c1e14e099965898bf2c4d2d5
131,54.0,0.39667946,67.0,0.28976819,88.0,0.2180452,"[54.0, 0.39667946, 67.0, 0.28976819, 88.0, 0.2180452]",49ae0135ce3548ffab2eb79b9c1f2882
132,1.0,0.86763487,18.0,0.86361456,54.0,0.56731055,"[1.0, 0.8676348700000001, 18.0, 0.86361456, 54.0, 0.56731055]",42dd10ee0a724048a9f79ce927c45852
133,72.0,0.90100002,21.0,0.34464139,79.0,0.1930788,"[72.0, 0.90100002, 21.0, 0.34464139, 79.0, 0.1930788]",3a27f0a7707741feabfc96d27cfb7feb
134,78.0,0.35278836,72.0,0.14444681,0.0,0.10658088,"[78.0, 0.35278836, 72.0, 0.14444681, 0.0, 0.10658088]",c02bb11b6ecf4209ae3430ce2da1180f
135,53.0,0.24765971,33.0,0.18523443,35.0,0.17609963,"[53.0, 0.24765971, 33.0, 0.18523443, 35.0, 0.17609963]",e88bf82f2db24c17a112da19e51278cd
136,61.0,0.72999685,82.0,0.49432999,88.0,0.43719158,"[61.0, 0.72999685, 82.0, 0.49432999, 88.0, 0.43719158]",3a1f6a19b70847d7b4f278f2a2496509
137,0.0,0.84572542,88.0,0.69358689,35.0,0.64710414,"[0.0, 0.84572542, 88.0, 0.69358689, 35.0, 0.6471041399999999]",2d96cabfab6d4857856e2ad177cedc49
138,26.0,0.49162266,54.0,0.38799465,52.0,0.37594387,"[26.0, 0.49162266, 54.0, 0.38799465, 52.0, 0.37594387]",4f426674724f4753b6d6292b33edf31b
139,85.0,0.2359487,43.0,0.20992488,21.0,0.19760211,"[85.0, 0.2359487, 43.0, 0.20992488, 21.0, 0.19760211]",4f9b6ed9f6fc4a90b9abc0faa7d3edba
140,65.0,0.80403453,85.0,0.53959042,18.0,0.391547965,"[65.0, 0.80403453, 85.0, 0.53959042, 18.0, 0.391547965]",e0d2d0c08c5f47bea75be61c9823bb12
141,65.0,0.80366186,91.0,0.20749478,21.0,0.13383384,"[65.0, 0.80366186, 91.0, 0.20749478, 21.0, 0.13383384]",e92c35af7a0440e8b1fed40ee7dda14c
142,73.0,0.26905316,16.0,0.21877804,65.0,0.18699297,"[73.0, 0.26905316, 16.0, 0.21877804, 65.0, 0.18699297]",2d86f61bdad747c9911ceb2248a030f3
143,73.0,0.41404796,32.0,0.40668985,49.0,0.24192581,"[73.0, 0.41404796, 32.0, 0.40668985, 49.0, 0.24192581]",b9b4844442c945b0af72428209ca4def
144,18.0,0.70208639,45.0,0.11713387,87.0,0.10616437,"[18.0, 0.70208639, 45.0, 0.11713387, 87.0, 0.10616437]",3ac40a25c0134c5eb52acf21e06532c8
145,54.0,0.65902091,3.0,0.368220023,29.0,0.28362024,"[54.0, 0.65902091, 3.0, 0.368220023, 29.0, 0.28362024]",cc66003a03cd43bc9dd3edf00d071a35
146,50.0,0.27890673,54.0,0.2008207,80.0,0.13217646,"[50.0, 0.27890673, 54.0, 0.2008207, 80.0, 0.13217646]",ae431c09bcff4af3882a3ddb15808bf2
147,11.0,0.61971521,73.0,0.51551765,29.0,0.43196922,"[11.0, 0.61971521, 73.0, 0.51551765, 29.0, 0.43196922000000004]",4bb8082aa9bb4ee198eb6a136cc5db8e
148,10.0,0.3352147,6.0,0.25250003,38.0,0.16978531,"[10.0, 0.3352147, 6.0, 0.25250003, 38.0, 0.16978531]",6bc1bc1f92044d4387bf85120a220579
149,41.0,0.50850993,45.0,0.38260117,-1.0,-1.0,"[41.0, 0.50850993, 45.0, 0.38260117, -1, -1]",d9a586f5833943ab9c5f1fb62926ef58
150,96.0,1.45532835,91.0,1.10489895,30.0,0.778529481,"[96.0, 1.4553283499999998, 91.0, 1.10489895, 30.0, 0.7785294810000001]",cb5efdb6742143169de54ee11b9eb314
